filename,kWeight,gap,runtime(ms),size,optimal?
w_rnd_graph_3000_20_3.txt,0.1,0.73,108000.01,26,FALSE
w_rnd_graph_3000_20_3.txt,0.25,0.75,108000.01,28,FALSE
w_rnd_graph_3000_20_3.txt,0.5,0.73,108000.01,33,FALSE
w_rnd_graph_3000_20_3.txt,0.75,0.73,108000.02,37,FALSE
w_rnd_graph_3000_20_3.txt,1,0.75,108000.01,39,FALSE
w_rnd_graph_3000_20_4.txt,0.1,0.76,108000.01,24,FALSE
w_rnd_graph_3000_20_4.txt,0.25,0.75,108000.01,29,FALSE
w_rnd_graph_3000_20_4.txt,0.5,0.73,108000.01,32,FALSE
w_rnd_graph_3000_20_4.txt,0.75,0.71,108000.01,36,FALSE
w_rnd_graph_3000_20_4.txt,1,0.71,108000.02,40,FALSE
w_rnd_graph_3000_30_1.txt,0.1,0.75,108000.02,18,FALSE
w_rnd_graph_3000_30_1.txt,0.25,0.73,108000.02,20,FALSE
w_rnd_graph_3000_30_1.txt,0.5,0.75,108000.02,23,FALSE
w_rnd_graph_3000_30_1.txt,0.75,0.73,108000.04,27,FALSE
w_rnd_graph_3000_30_1.txt,1,0.75,108000.02,28,FALSE
w_rnd_graph_3000_30_2.txt,0.1,0.73,108000.02,16,FALSE
w_rnd_graph_3000_30_2.txt,0.25,0.73,108000.02,21,FALSE
w_rnd_graph_3000_30_2.txt,0.5,0.75,108000.02,23,FALSE
w_rnd_graph_3000_30_2.txt,0.75,0.76,108000.04,25,FALSE
w_rnd_graph_3000_30_2.txt,1,0.75,108000.02,28,FALSE
w_rnd_graph_3000_30_3.txt,0.1,0.73,108000.02,17,FALSE
w_rnd_graph_3000_30_3.txt,0.25,0.76,108000.04,20,FALSE
w_rnd_graph_3000_30_3.txt,0.5,0.75,108000.02,23,FALSE
w_rnd_graph_3000_30_3.txt,0.75,0.73,108000.02,25,FALSE
w_rnd_graph_3000_30_3.txt,1,0.75,108000.02,27,FALSE
w_rnd_graph_3000_30_4.txt,0.1,0.74,108000.02,17,FALSE
w_rnd_graph_3000_30_4.txt,0.25,0.73,108000.02,20,FALSE
w_rnd_graph_3000_30_4.txt,0.5,0.69,108000.02,21,FALSE
w_rnd_graph_3000_30_4.txt,0.75,0.71,108000.02,26,FALSE
w_rnd_graph_3000_30_4.txt,1,0.71,108000.02,28,FALSE
w_rnd_graph_3000_40_1.txt,0.1,0.73,108000.02,13,FALSE
w_rnd_graph_3000_40_1.txt,0.25,0.71,108000.02,14,FALSE
w_rnd_graph_3000_40_1.txt,0.5,0.72,108000.03,16,FALSE
w_rnd_graph_3000_40_1.txt,0.75,0.73,108000.02,18,FALSE
w_rnd_graph_3000_40_1.txt,1,0.75,108000.02,20,FALSE
w_rnd_graph_3000_40_2.txt,0.1,0.73,108000.02,13,FALSE
w_rnd_graph_3000_40_2.txt,0.25,0.75,108000.02,15,FALSE
w_rnd_graph_3000_40_2.txt,0.5,0.69,108000.02,16,FALSE
w_rnd_graph_3000_40_2.txt,0.75,0.71,108000.05,18,FALSE
w_rnd_graph_3000_40_2.txt,1,0.71,108000.02,21,FALSE
w_rnd_graph_3000_40_3.txt,0.1,0.73,108000.05,11,FALSE
w_rnd_graph_3000_40_3.txt,0.25,0.73,108000.02,14,FALSE
w_rnd_graph_3000_40_3.txt,0.5,0.75,108000.07,18,FALSE
w_rnd_graph_3000_40_3.txt,0.75,0.73,108000.02,18,FALSE
w_rnd_graph_3000_40_3.txt,1,0.73,108000.02,21,FALSE
w_rnd_graph_3000_40_4.txt,0.1,0.74,108000.02,12,FALSE
w_rnd_graph_3000_40_4.txt,0.25,0.74,108000.02,14,FALSE
w_rnd_graph_3000_40_4.txt,0.5,0.75,108000.02,17,FALSE
w_rnd_graph_3000_40_4.txt,0.75,0.73,108000.02,18,FALSE
w_rnd_graph_3000_40_4.txt,1,0.75,108000.07,20,FALSE
w_rnd_graph_3000_50_1.txt,0.1,0.69,108000.02,9,FALSE
w_rnd_graph_3000_50_1.txt,0.25,0.76,108000.02,11,FALSE
w_rnd_graph_3000_50_1.txt,0.5,0.75,108000.03,12,FALSE
w_rnd_graph_3000_50_1.txt,0.75,0.73,108000.03,14,FALSE
w_rnd_graph_3000_50_1.txt,1,0.71,108000.03,16,FALSE
w_rnd_graph_3000_50_2.txt,0.1,0.75,108000.03,10,FALSE
w_rnd_graph_3000_50_2.txt,0.25,0.73,108000.03,11,FALSE
w_rnd_graph_3000_50_2.txt,0.5,0.75,108000.02,13,FALSE
w_rnd_graph_3000_50_2.txt,0.75,0.70,108000.04,14,FALSE
w_rnd_graph_3000_50_2.txt,1,0.73,108000.08,16,FALSE
w_rnd_graph_3000_50_3.txt,0.1,0.75,108000.02,9,FALSE
w_rnd_graph_3000_50_3.txt,0.25,0.73,108000.02,12,FALSE
w_rnd_graph_3000_50_3.txt,0.5,0.73,108000.02,12,FALSE
w_rnd_graph_3000_50_3.txt,0.75,0.75,108000.02,15,FALSE
w_rnd_graph_3000_50_3.txt,1,0.73,108000.02,16,FALSE
w_rnd_graph_3000_50_4.txt,0.1,0.75,108000.06,9,FALSE
w_rnd_graph_3000_50_4.txt,0.25,0.74,108000.03,11,FALSE
w_rnd_graph_3000_50_4.txt,0.5,0.75,108000.02,13,FALSE
w_rnd_graph_3000_50_4.txt,0.75,0.73,108000.04,15,FALSE
w_rnd_graph_3000_50_4.txt,1,0.75,108000.03,16,FALSE
w_rnd_graph_4000_20_1.txt,0.1,0.73,108000.02,26,FALSE
w_rnd_graph_4000_20_1.txt,0.25,0.74,108000.02,29,FALSE
w_rnd_graph_4000_20_1.txt,0.5,0.75,108000.02,34,FALSE
