graph;K;solution;size;gap;runtime(s);optimal?
w_lit_graph_300_30_1.txt;0.1;[8, 40, 64, 109, 144, 266, 282];7;0.0;397.68;True
w_lit_graph_300_30_1.txt;0.25;[8, 9, 40, 84, 149, 186, 187, 282];8;0.25;900.02;False
w_lit_graph_300_30_1.txt;0.5;[8, 36, 40, 74, 146, 193, 228, 250, 257, 277];10;0.3;900.05;False
w_lit_graph_300_30_1.txt;0.75;[52, 64, 83, 103, 119, 122, 138, 162, 187, 237, 244, 290];12;0.3333333333333333;900.08;False
w_lit_graph_300_30_1.txt;1;[13, 22, 41, 46, 73, 82, 100, 197, 238, 247, 278, 282, 296, 298];14;0.35714285714285715;900.02;False
w_lit_graph_400_20_1.txt;0.1;[28, 32, 116, 155, 157, 168, 229, 295, 312, 335, 354];11;0.36363636363636365;900.07;False
w_lit_graph_400_20_1.txt;0.25;[9, 28, 32, 58, 80, 157, 168, 242, 328, 360, 368, 380, 388];13;0.38461538461538464;900.06;False
w_lit_graph_400_20_1.txt;0.5;[6, 9, 10, 32, 68, 106, 157, 205, 227, 229, 257, 270, 276, 335, 359];15;0.4;900.02;False
w_lit_graph_400_20_1.txt;0.75;[32, 41, 44, 58, 59, 80, 112, 113, 151, 168, 231, 237, 257, 295, 335, 336, 344, 360];18;0.4444444444444444;900.05;False
w_lit_graph_400_20_1.txt;1;[9, 38, 58, 74, 80, 115, 116, 118, 136, 151, 168, 188, 207, 216, 229, 238, 281, 321, 349, 358, 360];21;0.42857142857142855;900.06;False
w_lit_graph_200_20_3.txt;0.1;[8, 17, 38, 63, 93, 128, 130, 133, 191];9;0.0;95.68;True
w_lit_graph_200_20_3.txt;0.25;[27, 42, 86, 101, 117, 127, 159, 161, 170, 173];10;0.0;483.22;True
w_lit_graph_200_20_3.txt;0.5;[37, 63, 86, 89, 101, 117, 129, 153, 159, 173, 187];11;0.09090909090909091;900.2;False
w_lit_graph_200_20_3.txt;0.75;[42, 68, 70, 89, 90, 93, 97, 99, 127, 132, 133, 144, 150, 173, 180];15;0.26666666666666666;900.07;False
w_lit_graph_200_20_3.txt;1;[3, 38, 42, 69, 70, 89, 90, 93, 99, 125, 129, 153, 161, 164, 180, 193, 198];17;0.23529411764705882;900.18;False
w_lit_graph_300_40_3.txt;0.1;[2, 25, 42, 95, 226];5;0.0;423.29;True
w_lit_graph_300_40_3.txt;0.25;[74, 141, 173, 206, 208, 227];6;0.0;405.08;True
w_lit_graph_300_40_3.txt;0.5;[141, 153, 154, 173, 189, 210, 281];7;0.14285714285714285;900.01;False
w_lit_graph_300_40_3.txt;0.75;[3, 6, 77, 94, 161, 235, 236, 250, 293];9;0.3333333333333333;900.01;False
w_lit_graph_300_40_3.txt;1;[22, 27, 28, 83, 97, 163, 164, 181, 248, 269];10;0.3;900.07;False
w_lit_graph_300_30_4.txt;0.1;[37, 59, 78, 94, 110, 146, 185];7;0.0;496.9;True
w_lit_graph_300_30_4.txt;0.25;[10, 66, 145, 160, 174, 178, 278, 283];8;0.25;900.05;False
w_lit_graph_300_30_4.txt;0.5;[60, 123, 124, 174, 232, 243, 267, 274, 296, 299];10;0.3;900.06;False
w_lit_graph_300_30_4.txt;0.75;[10, 60, 88, 98, 124, 156, 174, 211, 223, 271, 282, 285];12;0.3333333333333333;900.06;False
w_lit_graph_300_30_4.txt;1;[10, 39, 59, 66, 71, 91, 112, 147, 160, 243, 264, 283, 284, 293];14;0.35714285714285715;900.01;False
w_lit_graph_400_20_2.txt;0.1;[51, 57, 96, 150, 198, 243, 288, 345, 354, 355, 376];11;0.36363636363636365;900.05;False
w_lit_graph_400_20_2.txt;0.25;[10, 70, 81, 82, 113, 146, 188, 200, 201, 225, 226, 260, 354];13;0.38461538461538464;900.08;False
w_lit_graph_400_20_2.txt;0.5;[50, 69, 75, 86, 97, 135, 166, 172, 243, 356, 357, 359, 363, 369, 399];15;0.4666666666666667;900.06;False
w_lit_graph_400_20_2.txt;0.75;[18, 24, 50, 58, 66, 69, 86, 113, 133, 191, 266, 270, 303, 328, 338, 354, 376, 384];18;0.4444444444444444;900.07;False
w_lit_graph_400_20_2.txt;1;[50, 66, 97, 100, 170, 218, 221, 223, 225, 291, 330, 338, 345, 354, 357, 359, 361, 367, 369, 384];20;0.4;900.09;False
w_lit_graph_400_30_3.txt;0.1;[17, 80, 256, 306, 310, 316, 336, 379];8;0.25;900.06;False
w_lit_graph_400_30_3.txt;0.25;[82, 133, 139, 241, 251, 301, 306, 310, 369];9;0.3333333333333333;900.01;False
w_lit_graph_400_30_3.txt;0.5;[55, 96, 123, 256, 287, 294, 306, 310, 365, 379, 385];11;0.45454545454545453;900.08;False
w_lit_graph_400_30_3.txt;0.75;[44, 55, 98, 114, 133, 142, 156, 157, 299, 306, 310, 335, 377];13;0.46153846153846156;900.02;False
w_lit_graph_400_30_3.txt;1;[86, 102, 118, 156, 157, 171, 220, 261, 306, 311, 338, 343, 350, 389];14;0.42857142857142855;900.01;False
w_lit_graph_100_40_4.txt;0.1;[10, 51, 71, 87, 99];5;0.0;0.78;True
w_lit_graph_100_40_4.txt;0.25;[14, 26, 51, 87, 99];5;0.0;0.28;True
w_lit_graph_100_40_4.txt;0.5;[26, 62, 80, 87, 91, 99];6;0.0;1.13;True
w_lit_graph_100_40_4.txt;0.75;[25, 41, 51, 58, 59, 76, 91];7;0.0;4.17;True
w_lit_graph_100_40_4.txt;1;[21, 24, 26, 55, 79, 87, 96, 99];8;0.0;5.59;True
w_lit_graph_300_40_1.txt;0.1;[24, 53, 60, 67, 82, 256];6;0.16666666666666666;900.01;False
