filename,numVertices,numEdges,kWeight,maxIterations,removeVerticesPercentage,wheelIterations,runtime(ms),size
MOD_w_rnd_graph_2000_20_1.txt,2000,400800,1.0,160,0.2,32,93908,31
MOD_w_rnd_graph_2000_30_1.txt,2000,600700,0.1,160,0.2,32,13945,11
MOD_w_rnd_graph_2000_30_1.txt,2000,600700,0.25,160,0.2,32,25900,15
MOD_w_rnd_graph_2000_30_1.txt,2000,600700,0.5,160,0.2,32,20970,17
MOD_w_rnd_graph_2000_30_1.txt,2000,600700,0.75,160,0.2,32,27031,19
MOD_w_rnd_graph_2000_30_1.txt,2000,600700,1.0,160,0.2,32,40244,21
MOD_w_rnd_graph_2000_40_1.txt,2000,800600,0.1,160,0.2,32,8884,9
MOD_w_rnd_graph_2000_40_1.txt,2000,800600,0.25,160,0.2,32,16882,11
MOD_w_rnd_graph_2000_40_1.txt,2000,800600,0.5,160,0.2,32,16763,12
MOD_w_rnd_graph_2000_40_1.txt,2000,800600,0.75,160,0.2,32,28141,15
MOD_w_rnd_graph_2000_40_1.txt,2000,800600,1.0,160,0.2,32,33347,17
MOD_w_rnd_graph_2000_50_1.txt,2000,1000500,0.1,160,0.2,32,9794,7
MOD_w_rnd_graph_2000_50_1.txt,2000,1000500,0.25,160,0.2,32,11998,9
MOD_w_rnd_graph_2000_50_1.txt,2000,1000500,0.5,160,0.2,32,14367,10
MOD_w_rnd_graph_2000_50_1.txt,2000,1000500,0.75,160,0.2,32,22537,12
MOD_w_rnd_graph_2000_50_1.txt,2000,1000500,1.0,160,0.2,32,20237,13
MOD_w_rnd_graph_3000_20_1.txt,3000,901200,0.1,160,0.2,32,46267,17
MOD_w_rnd_graph_3000_20_1.txt,3000,901200,0.25,160,0.2,32,60564,22
MOD_w_rnd_graph_3000_20_1.txt,3000,901200,0.5,160,0.2,32,83511,26
MOD_w_rnd_graph_3000_20_1.txt,3000,901200,0.75,160,0.2,32,103871,28
MOD_w_rnd_graph_3000_20_1.txt,3000,901200,1.0,160,0.2,32,145438,33
MOD_w_rnd_graph_3000_30_1.txt,3000,1351050,0.1,160,0.2,32,32660,12
MOD_w_rnd_graph_3000_30_1.txt,3000,1351050,0.25,160,0.2,32,39411,15
MOD_w_rnd_graph_3000_30_1.txt,3000,1351050,0.5,160,0.2,32,66441,18
MOD_w_rnd_graph_3000_30_1.txt,3000,1351050,0.75,160,0.2,32,61013,20
MOD_w_rnd_graph_3000_30_1.txt,3000,1351050,1.0,160,0.2,32,103144,23
MOD_w_rnd_graph_3000_40_1.txt,3000,1800900,0.1,160,0.2,32,17647,9
MOD_w_rnd_graph_3000_40_1.txt,3000,1800900,0.25,160,0.2,32,43347,12
MOD_w_rnd_graph_3000_40_1.txt,3000,1800900,0.5,160,0.2,32,53219,14
MOD_w_rnd_graph_3000_40_1.txt,3000,1800900,0.75,160,0.2,32,57781,15
MOD_w_rnd_graph_3000_40_1.txt,3000,1800900,1.0,160,0.2,32,74103,18
MOD_w_rnd_graph_3000_50_1.txt,3000,2250750,0.1,160,0.2,32,20319,7
MOD_w_rnd_graph_3000_50_1.txt,3000,2250750,0.25,160,0.2,32,36391,10
MOD_w_rnd_graph_3000_50_1.txt,3000,2250750,0.5,160,0.2,32,40710,11
MOD_w_rnd_graph_3000_50_1.txt,3000,2250750,0.75,160,0.2,32,35094,12
MOD_w_rnd_graph_3000_50_1.txt,3000,2250750,1.0,160,0.2,32,82513,14
MOD_w_rnd_graph_4000_20_1.txt,4000,1601600,0.1,160,0.2,32,85799,18
MOD_w_rnd_graph_4000_20_1.txt,4000,1601600,0.25,160,0.2,32,134155,23
MOD_w_rnd_graph_4000_20_1.txt,4000,1601600,0.5,160,0.2,32,185163,27
MOD_w_rnd_graph_4000_20_1.txt,4000,1601600,0.75,160,0.2,32,184721,31
MOD_w_rnd_graph_4000_20_1.txt,4000,1601600,1.0,160,0.2,32,188133,36
MOD_w_rnd_graph_4000_30_1.txt,4000,2401400,0.1,160,0.2,32,73378,12
MOD_w_rnd_graph_4000_30_1.txt,4000,2401400,0.25,160,0.2,32,113344,16
MOD_w_rnd_graph_4000_30_1.txt,4000,2401400,0.5,160,0.2,32,109212,19
MOD_w_rnd_graph_4000_30_1.txt,4000,2401400,0.75,160,0.2,32,168258,21
MOD_w_rnd_graph_4000_30_1.txt,4000,2401400,1.0,160,0.2,32,176269,24
MOD_w_rnd_graph_4000_40_1.txt,4000,3201200,0.1,160,0.2,32,57478,10
MOD_w_rnd_graph_4000_40_1.txt,4000,3201200,0.25,160,0.2,32,85598,12
MOD_w_rnd_graph_4000_40_1.txt,4000,3201200,0.5,160,0.2,32,140257,15
MOD_w_rnd_graph_4000_40_1.txt,4000,3201200,0.75,160,0.2,32,129504,16
MOD_w_rnd_graph_4000_40_1.txt,4000,3201200,1.0,160,0.2,32,146701,19
MOD_w_rnd_graph_4000_50_1.txt,4000,4001000,0.1,160,0.2,32,47070,8
MOD_w_rnd_graph_4000_50_1.txt,4000,4001000,0.25,160,0.2,32,67958,10
MOD_w_rnd_graph_4000_50_1.txt,4000,4001000,0.5,160,0.2,32,75802,12
MOD_w_rnd_graph_4000_50_1.txt,4000,4001000,0.75,160,0.2,32,72277,13
MOD_w_rnd_graph_4000_50_1.txt,4000,4001000,1.0,160,0.2,32,82102,14
MOD_w_rnd_graph_500_20_1.txt,500,25200,0.1,160,0.2,32,759,11
MOD_w_rnd_graph_500_20_1.txt,500,25200,0.25,160,0.2,32,1520,15
