filename,numVertices,numEdges,kWeight,maxIterations,removeVerticesPercentage,destructionMethod,reconstructionMethod,runtime(ms),size
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,RANDOM_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,1549,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,RANDOM_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,1534,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,RANDOM_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,1754,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,EDGE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,1890,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,EDGE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,1551,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,EDGE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,1749,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,EDGE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,9683,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,2163,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,2052,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,1947,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,CONTRIBUTION_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,11538,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,COMPLETE_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,3646,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,COMPLETE_BASED_DESTRUCTION,EDGE_BASED_RECONSTRUCTION,1737,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,COMPLETE_BASED_DESTRUCTION,CONTRIBUTION_BASED_RECONSTRUCTION,2083,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.1,160,0.2,COMPLETE_BASED_DESTRUCTION,COMPLETE_BASED_RECONSTRUCTION,6897,14
w_rnd_graph_1000_20_2.txt,1000,100400,0.25,160,0.2,RANDOM_BASED_DESTRUCTION,RANDOM_BASED_RECONSTRUCTION,1772,16
